id,gender,chipTime_16k,city,year,chipTime_21k,chipTime_32k,chipTime_42k,age,pace_16k,pace_21k,pace_32k,pace_change_16k_21k,pace_change_21k_32k
14955,0,4265.0,4,2024,6156.0,9712.0,14610.0,3.0,266.5625,291.75355450236964,303.5,-25.19105450236964,-11.746445497630361
15584,0,4398.0,5,2024,6027.0,9740.0,13253.0,1.0,274.875,285.6398104265403,304.375,-10.764810426540294,-18.735189573459706
146,0,4975.0,0,2024,5874.0,9743.0,13213.0,3.0,310.9375,278.38862559241704,304.46875,32.54887440758296,-26.080124407582957
13812,0,4400.0,2,2024,5979.0,9752.0,15568.0,4.0,275.0,283.3649289099526,304.75,-8.364928909952596,-21.385071090047404
3707,1,4613.0,0,2025,6349.0,9752.0,,4.0,288.3125,300.90047393364927,304.75,-12.587973933649266,-3.849526066350734
37,0,4311.0,0,2024,7696.0,9782.0,13381.0,3.0,269.4375,364.73933649289097,305.6875,-95.30183649289097,59.05183649289097
3737,0,4769.0,0,2025,6221.0,9788.0,,3.0,298.0625,294.8341232227488,305.875,3.228376777251185,-11.040876777251185
126,0,4651.0,0,2024,6371.0,9789.0,,3.0,290.6875,301.94312796208527,305.90625,-11.25562796208527,-3.9631220379147294
8677,0,6316.0,1,2024,6275.0,9797.0,13996.0,7.0,394.75,297.39336492890993,306.15625,97.35663507109007,-8.762885071090068
989,1,6146.0,0,2024,10232.0,9836.0,,3.0,384.125,484.9289099526066,307.375,-100.8039099526066,177.5539099526066
15592,0,4502.0,5,2024,6052.0,9839.0,15044.0,1.0,281.375,286.82464454976304,307.46875,-5.449644549763036,-20.644105450236964
13833,0,5115.0,2,2024,6120.0,9845.0,14274.0,4.0,319.6875,290.0473933649289,307.65625,29.640106635071106,-17.608856635071106
3728,0,4581.0,0,2025,5844.0,9853.0,,0.0,286.3125,276.9668246445497,307.90625,9.345675355450282,-30.939425355450282
8494,0,4532.0,1,2024,6342.0,9865.0,14502.0,6.0,283.25,300.5687203791469,308.28125,-17.318720379146896,-7.712529620853104
4701,0,6229.0,0,2025,7888.0,9866.0,,11.0,389.3125,373.8388625592417,308.3125,15.473637440758296,65.5263625592417
14971,0,4677.0,4,2024,6298.0,9867.0,,2.0,292.3125,298.4834123222749,308.34375,-6.170912322274887,-9.860337677725113
1598,0,6960.0,0,2024,5366.0,9869.0,12665.0,2.0,435.0,254.31279620853078,308.40625,180.68720379146922,-54.093453791469216
8085,0,9756.0,0,2025,12793.0,9870.0,,4.0,609.75,606.303317535545,308.4375,3.446682464454966,297.86581753554503
19,0,4181.0,0,2024,5921.0,9881.0,13792.0,0.0,261.3125,280.6161137440758,308.78125,-19.30361374407579,-28.16513625592421
3187,1,8921.0,0,2024,13710.0,9920.0,,1.0,557.5625,649.7630331753554,310.0,-92.20053317535542,339.7630331753554
3871,1,5204.0,0,2025,6536.0,9939.0,,4.0,325.25,309.7630331753554,310.59375,15.486966824644583,-0.8307168246445826
13827,0,4918.0,2,2024,6026.0,9941.0,,12.0,307.375,285.59241706161134,310.65625,21.782582938388657,-25.063832938388657
14296,1,4462.0,3,2024,5920.0,9943.0,,2.0,278.875,280.5687203791469,310.71875,-1.693720379146896,-30.150029620853104
122,0,4878.0,0,2024,6483.0,9947.0,,3.0,304.875,307.2511848341232,310.84375,-2.376184834123194,-3.592565165876806
14969,0,4672.0,4,2024,6271.0,9950.0,,3.0,292.0,297.2037914691943,310.9375,-5.2037914691943,-13.7337085308057
