,id,chipTime_16k,year,chipTime_21k,chipTime_32k,chipTime_42k,pace_16k,pace_21k,pace_32k,pace_change_16k_21k,pace_change_21k_32k,city_Baguio,city_Cagayan de Oro,city_Cebu,city_Davao,city_Iloilo-Bacolod,city_Manila,gender_Female,gender_Male,age_17 an,age_18-24,age_20-24,age_25-29,age_30-34,age_35-39,age_40-44,age_45-49,age_50-54,age_55-59,age_60-64,age_65-69,age_70+ M,age_70-74,age_75-79,age_U
27,14135,7906.0,2024,6989.0,8685.0,22631.0,494.125,331.23222748815164,271.40625,162.89277251184836,59.825977488151636,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
28,98,4755.0,2024,5847.0,8726.0,,297.1875,277.10900473933646,272.6875,20.078495260663544,4.421504739336456,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,3668,4150.0,2025,5375.0,8778.0,,259.375,254.73933649289097,274.3125,4.6356635071090295,-19.57316350710903,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
30,13809,4302.0,2024,5292.0,8830.0,,268.875,250.80568720379145,275.9375,18.06931279620855,-25.13181279620855,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
31,6814,8006.0,2025,10944.0,8844.0,,500.375,518.6729857819905,276.375,-18.29798578199052,242.29798578199052,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
32,3669,4140.0,2025,5638.0,8900.0,,258.75,267.2037914691943,278.125,-8.4537914691943,-10.9212085308057,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
33,3670,4174.0,2025,6686.0,8914.0,,260.875,316.87203791469193,278.5625,-55.99703791469193,38.30953791469193,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
34,13814,4473.0,2024,5387.0,8943.0,,279.5625,255.3080568720379,279.46875,24.254443127962105,-24.160693127962105,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
35,13808,4178.0,2024,5417.0,8982.0,,261.125,256.7298578199052,280.6875,4.395142180094808,-23.95764218009481,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
36,36,4296.0,2024,5880.0,9023.0,,268.5,278.6729857819905,281.96875,-10.17298578199052,-3.295764218009481,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
